id,song_num,page_num,catalogue_num,performer,performer_gender,culture,tonality,bpm_voice,bpm_drum,bpm,beat_duration,meters,lyrics_translation,lyrics,comments,instrument_use,percussion_use,instrumentation
nootka001,1,54,1377,James Guy,male,Makah,irregular,88|132,,88|132,1,2/4|3/4,The oil of this whale is red because the little bird has made it so.,,,TRUE,TRUE,voice|drum
nootka002,2,56,1378,James Guy,male,Makah,irregular,132,,132,1,2/4|3/4,We got this whale because the little bird was not at home,,,TRUE,TRUE,voice|drum
nootka005,5,65,1380,James Guy,male,Makah,irregular,66,,66,1,3/4|2/4,"I come in,
I am rolling (not walking) but I am a man",,,FALSE,FALSE,voice
nootka006,6,65,1381,James Guy,male,Makah,irregular,76,,76,1,2/4|3/4,"Here I come from way out, to the land,
To visit as many places as I can.",,,FALSE,FALSE,voice
nootka007,7,66,1382,James Guy,male,Makah,irregular,54,,54,1,3/4|2/4,I am coming back to be caught again,,,FALSE,FALSE,voice
nootka032,32,94,1338,Young Doctor,male,Makah,irregular,60,,60,1,3/4|2/4,,,,FALSE,FALSE,voice
nootka033,33,95,1351,Young Doctor,male,Makah,irregular,36,,36,1,2/4|3/4,,,,FALSE,FALSE,voice
nootka035,35,98,1421,Philip Ladder,,Makah,irregular,96,,96,1,2/4|3/4,,,Meaning of the words was unknown,TRUE,TRUE,voice|drum
nootka036,36,99,1422,Philip Ladder,,Makah,irregular,138,138,138,1,2/4|3/4,Dance slowly,,Drum rhythm: continous quarters,TRUE,TRUE,voice|drum
nootka037,37,100,1423,Philip Ladder,,Makah,irregular,96,,96,1,2/4,,,,TRUE,TRUE,voice|drum
nootka038,38,101,1424,Philip Ladder,,Makah,irregular,66,,66,1,2/4|3/4,I am dancing in the air and dancing round and round,,,TRUE,TRUE,voice|drum
nootka039,39,104,1384,James Guy,male,Makah,irregular,96,,96,1,2/4|3/8|5/8,My dancer is the day,,,FALSE,FALSE,voice
nootka040,40,105,1385,James Guy,male,Makah,irregular,80,,80,1,2/4|3/4,,,The song has no words,FALSE,FALSE,voice
nootka041,41,107,1501,Young Doctor,male,Vancouver Island,irregular,76,,76,1,2/4|3/4,"The nuchin who lives in the woods is a man;
The klechin who lives in the woods is a man.",,,FALSE,FALSE,voice
nootka055,55,126,1396,Mrs. Helen Irving,female,Makah,irregular,66,66,66,1,2/4|3/4,,,Drum rhythm: continuous sixteenth-notes,TRUE,TRUE,voice|drum
nootka056,56,132,1499,Charles Swan,male,Vancouver Island,irregular,104,104,104,1,3/4|2/4,,,,TRUE,TRUE,voice|drum
nootka098,98,185,1407,Mrs. Helen Irving,female,Makah,irregular,69,126,69,1,2/4|3/4,"Who is my equal or can compare with me?
I have forty whales on my beach.",,Drum rhythm similar to no. 10,TRUE,TRUE,voice|drum
nootka100,100,187,1431,James Guy,male,Makah,irregular,92,,92,1,3/4|2/4|5/8,,,,FALSE,FALSE,voice
nootka104,104,191,1388,James Guy,male,Makah,irregular,96,,96,1,2/4,There is my head (that I took).,,,FALSE,FALSE,voice
nootka106,106,193,1443,Mrs. Sarah Guy,female,Clayoquot,irregular,88,,88,1,2/4|3/4,,,,FALSE,FALSE,voice
