id,song_num,page_num,catalogue_num,performers,performer_genders,location,latitude,longitude,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,lyrics,free_translation,tonality,comments
papago001,1,18,1000,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,160,0.5,3/8|2/8,TRUE,FALSE,FALSE,voice,,"I can not walk, I am dragging along, I cried, Ah, Ah!",,
papago002,2,19,1001,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,84,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Black refuge where I dwell.
I am going forth with it.
I am there.",,
papago003,3,20,996,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,66,1,2/4,TRUE,FALSE,FALSE,voice,,"I have created you here, I have created you here
The red evening I bring to you",,"The location is written as ""Vomari"" by Densmore."
papago004,4,20,997,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,100,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"I suffered to the bottom of my heart but at last I created a great deal of wind and at last I created many clouds, so now I am singing for joy.",,"The location is written as ""Vomari"" by Densmore."
papago005,5,21,1035,Jose Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,92,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Here I sink, and I know all sorts of things",,"The location is written as ""Vomari"" by Densmore."
papago006,6,22,988,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I have done the worst thing now in killing you, my brother, but I am going to leave your wind and your clouds",,"The location is written as ""Vomari"" by Densmore."
papago007,7,22,980,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"There is an old man sitting down and fixing his vaäko (canteen), fixing his vaäko",,"The location is written as ""Vomari"" by Densmore."
papago008,8,23,991,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,irregular,"The location is written as ""Vomari"" by Densmore."
papago009,9,24,981,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,72,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,Now we are going to look over the world and see what is going on,,"The location is written as ""Vomari"" by Densmore."
papago010,10,25,982,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,80,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"The world we have come into looks so grassy,
We come out to look over the world",,"The location is written as ""Vomari"" by Densmore."
papago011,11,26,985,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Here we are on our way and see the distant mountain.
See, the mountain far from us that has the cloud is Raven Mountain.",,"The location is written as ""Vomari"" by Densmore."
papago012,12,27,984,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,126,0.5,5/8|2/4|3/4|3/8,TRUE,FALSE,FALSE,voice,,Downy white feathers are moving beneath the sunset and along the edge of the world,Irregular,"The location is written as ""Vomari"" by Densmore."
papago013,13,28,986,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,Oh! I have seen many things in this world and I have been in this world a long time,,"The location is written as ""Vomari"" by Densmore."
papago014,14,29,987,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,69,1,3/4,TRUE,FALSE,FALSE,voice,,"Our grandmother says it will be all right that she dies,
Because she has been alive a long time.
That is why she does not mind dying,
Because we can not keep up with the crowd.",irregular,"The location is written as ""Vomari"" by Densmore."
papago015,15,30,983,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,84,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Now, now I have found what you did,
The world will burn if you do this,
Now i have found it out.",,"The location is written as ""Vomari"" by Densmore."
papago016,16,31,998,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,84,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Good luck, my grandmother.
All that you have done will be sounded through the world.",,
papago017,17,32,999,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Going toward the east where the road goes;
Where the burden basket walked.",,
papago018,18,33,989,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,88,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"You must enjoy yourselves in the evening.
Look at me. See how I look and yet I am happy.",,"The location is written as ""Vomari"" by Densmore."
papago019,19,34,990,Mattias Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Get up and dance.
Look up and see the end of the pole where my scalp is hanging. 
I want you to enjoy yourselves.",,"The location is written as ""Vomari"" by Densmore."
papago020,20,37,954,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,132,0.5,4/8|5/8|3/8,TRUE,FALSE,FALSE,voice,,"Am I an eagle?
My feathers are filled with mysterious power.",,
papago021,21,43,955,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,Lyrics aligned with music in publication
papago022,22,44,956,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,84,1,3/4|2/4,TRUE,FALSE,FALSE,voice,Wanitho [I will become] ci [like] makai [a medicine] coï [man] niäthanur [my feathers] vavazaza [are growing longer],,,Lyrics aligned with music in publication
papago023,23,45,957,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,96,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Humo [now] kupahaku [the eagle] natho [is made] humo [now] tokiyo [it will destroy us all],,,Lyrics aligned with music in publication
papago024,24,48,958,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Kanina [It was] vavahi [rocks] nahpiöni [slippery] wahpola [arrow shafts] tacai [stick in] koitha [on this] caiimuna [walked up],,irregular,Lyrics aligned with music in publication
papago025,25,49,959,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Thani [I am] thonai [white] Ethoi [Elder Brother] vavashi [rocks] sithahpiöni [slippery] koina [over this] kaämo [I am] himuna [going],,,Lyrics aligned with music in publication
papago026,26,50,960,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,3/4|2/4,TRUE,FALSE,FALSE,voice,Mowali [fly] ha [ho],,,Densmore also reports another text for the same melody (same page)
papago027,27,53,961,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,72,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"You have done it right, you little bit of an Elder Brother.
Henceforth the villages will be safe and I am on the ground, I will get along better.",,
papago028,28,55,962,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Vahavi [towering rocks] kohona [sounding] hononi [evening] wuma [with them] iasoakima [I am crying],,,Lyrics aligned with music in publication
papago029,29,57,963,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,He lies face downward,,
papago030,30,58,964,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,120,1,3/4,TRUE,FALSE,FALSE,voice,Hayah [Oh] niroika [my pet],Oh my pet,,
papago031,31,59,965,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,60,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I will take any young birds and raise them.
When their feathers grow long I will put them out.",irregular,
papago032,32,60,966,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Bows now are made,
Arrows now are made.
Towards the west we will try them.
You can watch them fly, my boys.",,
papago033,33,63,967,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,60,1,2/4,TRUE,FALSE,FALSE,voice,,"One in the corner, in the square on the ground,
A fire in each corner, four fires on the ground",irregular,
papago034,34,64,968,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Who are you, nice boys?
Who is going to marry me?",,
papago035,35,65,969,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,84,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"From the east the girls are approaching.
They came to the place of the singing,
They are here.",,
papago036,36,65,970,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,116,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I am [...], I am showy, with glittering belt and a fillet of white eagle down",irregular,
papago037,37,68,971,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,120,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
