id,title,song_num,page_num,catalogue_num,singer_num,performers,performer_genders,performer_band,culture_dplace_id,performer_age_group,genre,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,comments,lyrics,free_translation,tonality,analysis
ute001,The Dust of the Red Wagon,1,58,758,1,Little Jim (To'pātšuk),male,White River and Uinta,Nd58,,bear dance,95,,95,1,2/4,TRUE,,,,"Instrumentation is unclear: Densmore writes ""Morache not recorded""|Lyrics in the publication",,,G minor,"This melody comprises six rhythmic periods, the first four containing two measures each and the last two containing three measures each. The final measure in every period contains two eighth notes followed by a quarter note. This phrase is sung on the lowest tone in the period which, with its frequent recurrence, gives the phrase a certain emphasis. Noting the tones on which this occurs we find them to be G, F, G, F, G, G. The tones in the first, third, fifth, and sixth periods are those of the triad of G minor, and the song is analyzed in that key. The melody progresses chiefly by thirds, 63 per cent of the intervals being minor and 22 per cent major thirds."
ute002,Yellow Hair,2,59,784,2,Nikoree (Nikavari),,Uncompahgre,Nd62,old,bear dance,200,152,200|152,1,3/4,TRUE,TRUE,TRUE,voice|morache,Lyrics are transcribed in the publication,,,G minor,"This song is characterized by a monotonous rhythm and a lack of variety in melodic progression. Other songs containing the same characteristics are Nos. 3, 4, 6, 10, 15, and 16 in the Bear dance songs, and a majority of the hand game songs, Nos. 94-102. This rhythmic and melodic peculiarity suggests a vocal expression scarcely developed to the point of composed song. We find in it a resem blance to the rhythmic vocalization which accompanies concerted labor among peoples low in the scale of culture. In a majority of the songs cited the principal interval is the minor (or nonmajor) third, which characterizes the most primitive vocal expression of uncivilized peoples. (See Bull. 53, p. 7.) This interval is prominent also in the early music of civilization. The tone material of this song comprises a fundamental (G), with its minor third and minor seventh—a tone material not previously noted by the writer. For convenience the song is analyzed as in the key of G minor, though it can scarcely be said to constitute a key in the accepted sense of that term.
The rhythm of the notched-stick rattle is simple and does not vary in the songs recorded with its accompaniment. The rubbing stick is thrust downward upon the notched stick, producing a sharp, rasping sound, and as it is brought upward, preparatory to the next stroke, there is a similar but less pronounced sound, the downward stroke occupying a period of time slightly longer than that required for returning the rubbing stick to its original position. The sound pro duced by the upward motion varied with individuals, those who used he rattle with special energy producing, of course, a louder sound with the upward motion of the rubbing stick. The song under analysis is the only recorded Bear dance song in which the rattle and voice are not synchronous at the beginning of each count. In this song the tempo of the rattle is slightly slower than that of the voice."
ute003,Dance Faster,3,61,772,3,Fred Mart,male,,,young,bear dance,104,104,104,1,2/4|3/4,TRUE,TRUE,TRUE,voice|morache,Lyrics are partially transcribed in the publication,,,C major,"This song, in contrast to that next preceding, is char acterized by the interval of the major third, which constitutes 52 per cent of the intervals. Next in frequency is the interval of a fourth, constituting 27 per cent of the entire number. The rhythmic unit is short and occurs in both double and triple measures. Count- divisions similar to those in the rhythmic unit appear throughout the song. The melody tones are those of the major triad and fourth. The low G at the close of the song was given with distinctness, though it seemed to be below the natural compass of the singer's voice. No variation occurred in the four renditions of this melody. The interval of a fourth characterizes this song and is also prominent in Nos. 7, 11, 16, 20, 50, 88, 90, and 100. A monotonous rhythm somewhat resembling that of the present song is noted also in Nos. 4, 6, 10, 15, 16, 42, 98, and 101. This peculiarity was not found in songs of the Chippewa and Sioux."
ute004,Song of Nu'šina,4,62,773,3,Fred Mart,male,,,young,bear dance,126,,126,1,3/4,TRUE,,,voice,"""morache not recorded""",,,D major,"Two renditions of this song were recorded and are uniform in every respect. This is interesting, as the rhythmic unit is long and the measure-divisions monotonous. In numerous Ute songs there occurs a connective phrase, sung between renditions of the melody. In some instances a connective tone is sung midway of the ascent from the final tone of the song to that with which the repetition begins. In this instance the connective tone is on the same pitch as the lowest tone of the melody. A wide variety of intervals occurs in the song, a peculiarity which was noted in the more modern Sioux songs. Thus we find five sorts of ascending and four of descending intervals, while in the song next preceding, which was mistaken for an old song, almost 80 per cent of the intervals were fourths and major thirds. This song is melodic in structure and contains the tones of the fourth five-toned scale."
ute005,Bear Dance Song (a),5,63,690,4,Isaacs (Magwitšint),,White River and Uinta,Nd58,middle,bear dance,104,,104,1,2/4|2/4,TRUE,,,voice,"""morache not recorded""",,,B flat major,"The somewhat monotonous rhythm of this song is varied only by a triple measure near the close. The melody tones are those of the fourth five-toned scale, and the ascending and descending intervals are about equal in number. Major and minor thirds constitute 89 per cent of the intervals, though the fourth is prominent in a portion of the melody. Five renditions were recorded and show no variations."
ute006,Bear Dance Song (b),6,63,691,4,Isaacs (Magwitšint),,White River and Uinta,Nd58,middle,bear dance,76,,76,1,2/4|3/4,TRUE,,,voice,"""morache not recorded""",,,G flat major,"This song is harmonic in structure, containing only the tones of the major triad and the fourth, which is always raised a semitone. The rapid phrases in which this tone occurs were given without variation in the four renditions of the song. In tonality the song is major, and 57 per cent of the intervals are major thirds. The rhythmic form of the song is interesting and clear, with four occur rences of the rhythmic unit."
ute007,Bear Dance Song (c),7,64,692,4,Isaacs (Magwitšint),,White River and Uinta,Nd58,middle,bear dance,104,,104,1,2/4|3/4,TRUE,,,voice,"""morache not recorded""",,,A major,"In the renditions of this melody we have an example of the ""connective phrase"" found in Ute music and not in that of the Chippewa and Sioux previously analyzed by the writer. Similar phrases are transcribed in songs Nos. 39 (duplication), 41, 46, 70, 72, 84, 85, 86, 89, 91, 92, and 93. A connective tone has been mentioned in the analysis of No. 4. This connective phrase was sung slightly rubato in its two final measures and occurs between all the six renditions of the song. It can not be considered an introductory phrase, as the singer began with the first measure of the melody as transcribed. Among the Chippewa and Sioux it was not unusual to find an introductory phrase, which was sung before the first rendition of the song and omitted in all the subsequent renditions.
The rhythm of this song is clear and forceful, the two units being distinctly given. Thirty-eight progressions occur in the song, all but two of which are fourths and major thirds. (See No. 3.) The melody tones are those of the major triad and second."
ute008,Bear Dance Song (d),8,65,763,5,Clark Tonner (So'nawav),,White River and Uinta,Nd58,middle,bear dance,104,104,104,1,2/4|3/4,TRUE,TRUE,TRUE,voice|morache,,,,B flat major,"A peculiarity of this song is the rest during which, in the four renditions of the song, the voice was silent while the scraping of the rattle continued in exact tune. Two rhythmic units occur, and count-divisions similar to those of the units appear throughout the melody. About half the progressions are whole and half tones, which is unusual. The melody contains all the tones of the octave except the sixth and seventh. The descending intervals of a fourth were sung glissando in this as in numerous other songs of the Bear dance. This glissando was said to ""imitate the sound made by a bear."" Other songs containing rests are Nos. 11, 19, 27, 41, 46, 48, 68, 77, 95, 96, and 97."
ute009,Bear Dance Song (e),9,66,764,5,Clark Tonner (So'nawav),,White River and Uinta,Nd58,middle,bear dance,108,108,108,1,2/4|3/4,TRUE,TRUE,TRUE,voice|morache,Ute lyrics not recorded,,As the sun comes up it raises a dust.,C minor,"The tone material of this song comprises a fundamental with its minor third, fourth, and minor seventh. Progression is chiefly by thirds, which constitute 86 per cent of the intervals. The song contains four rhythmic periods and four closing measures. This form is accurately repeated in the three renditions of the song. Rattle and voice have the same tempo and were synchronous on the first of each count."
ute010,Bear Dance Song (f),10,67,765,5,Clark Tonner (So'nawav),,White River and Uinta,Nd58,middle,bear dance,58,58,58,1,2/4|3/4,TRUE,TRUE,TRUE,voice|morache,,,,C minor,"All the tones of the octave occur hi this song, which is minor in tonality and melodic in structure. The opening tone is the seventh, followed by a descending fourth sung glissando. This is an unusual opening but is uniform in the four renditions of the song. About 65 per cent of the progressions are thirds, though the fourth is prominent in the first part of the song. The rhythmic unit is short and in itself uninteresting, but the triple measures give variety and character to the rhythm of the song as a whole. The tempo of the song is unusually slow."
ute011,Bear Dance Song (g),11,68,766,5,Clark Tonner (So'nawav),,White River and Uinta,Nd58,middle,bear dance,114,,114,1,3/4|2/4,TRUE,,,voice,"""morache not recorded""",,,G sharp minor,"Four renditions of this song were recorded and in them all occur the changes of tempo indicated in the transcription. The first of the slower phrases is on a tone which appettrs to have little relation to the rest of the melody, but this tone was persistent in the several renditions. Two rhythmic units occur, having the same division of the first count bxit differing in the remaining portion. The fourth is a prominent interval, comprising 25 per cent of the entire number. (See No. 3.) Attention is directed to the ascent of a ninth, midway through the song. Reference to Table 12 on page 41 will show .this to be an unusual progression. The song is melodic in structure and contains the tones of the second five-toned scale. Other songs containing rests are noted in the analysis of No. 8. Other songs containing a change of tempo are Nos. 76 and 99."
