file,info,label,f0
contour_15_2_2,Incredulity,Yes/No Rise,"[-30.390409469604492, -32.11734390258789, -37.298095703125, -47.659637451171875, -47.659637451171875, -7.5943827629089355, -1.7225092649459839, 2.4210455417633057, 4.839776515960693, 5.874887466430664, -71.48698425292969, -45.235755920410156, -2.7596945762634277, 53.894412994384766, 82.5512466430664]"
contour_15_2_3,Implication,RFR,"[-6.2135090827941895, -6.2135090827941895, -6.2135090827941895, -6.2135090827941895, -6.2135090827941895, 85.31328582763672, 87.04022216796875, 87.04022216796875, 85.31328582763672, 78.37078857421875, 44.56071472167969, -24.502405166625977, -63.2019157409668, 2.084970474243164, 43.8671875]"
contour_15_4_3,Implication,Fall,"[110.84981536865234, 117.09481048583984, 121.57858276367188, 125.71910858154297, 129.81069946289062, 131.25038146972656, 133.66705322265625, 131.9401092529297, 130.2132110595703, 127.7931137084961, -39.02503204345703, -63.2019157409668, -111.55564880371094, -137.45944213867188, -116.73640441894531]"
contour_15_8_1,Contradiction,Polarity Focus,"[109.49020385742188, 107.4186019897461, 102.58251953125, 88.43283081054688, 69.01307678222656, 198.25494384765625, 215.17848205566406, 225.1939239501953, 225.1939239501953, 225.1939239501953, -112.9365005493164, -116.38688659667969, -123.64409637451172, -125.37100219726562, -117.43641662597656]"
contour_15_8_3,Implication,RFR,"[52.501808166503906, 50.77485656738281, 45.59410095214844, 36.9594612121582, 33.496978759765625, 35.232547760009766, 30.051780700683594, 11.055644035339355, -7.940463542938232, -11.402961730957031, -9.66738510131836, 28.32486915588379, 26.597949981689453, 0.6941291689872742, 49.047916412353516]"
contour_618_2_2,Incredulity,Yes/No Rise,"[-84.87953186035156, -86.95081329345703, -86.95081329345703, -83.14744567871094, -77.67037963867188, -14.420098304748535, -12.69316291809082, -12.69316291809082, -12.69316291809082, -12.69316291809082, 47.749019622802734, 41.88374710083008, 66.74517059326172, 118.55278778076172, 124.42538452148438]"
contour_618_2_3,Implication,RFR,"[1.1221641302108765, 1.1221641302108765, 2.8491132259368896, 5.613232135772705, 8.36398983001709, 8.029875755310059, 1.1221641302108765, -4.0585551261901855, -10.966263771057129, -17.90873146057129, 22.884157180786133, -95.92664337158203, -48.9585075378418, 45.34791946411133, 77.10665130615234]"
contour_618_4_3,Implication,RFR,"[-4.0585551261901855, -4.0585551261901855, -4.0585551261901855, -1.9872817993164062, 0.07167480140924454, -4.0585551261901855, -13.726569175720215, -29.962392807006836, -34.7728157043457, 20.144208908081055, -13.382904052734375, -80.02595520019531, -123.21611022949219, -122.14643859863281, -35.4792594909668]"
contour_930_1_3,Implication,RFR,"[-34.816925048828125, -32.05178451538086, -27.56278419494629, -22.032508850097656, -16.55547523498535, 20.454910278320312, 29.080886840820312, 36.33332443237305, 31.508895874023438, 1.015696406364441, -17.201263427734375, 27.698686599731445, 12.156390190124512, -44.8320198059082, -44.8320198059082]"
contour_930_2_2,Incredulity,Yes/No Rise,"[-53.14268493652344, -59.33191680908203, -63.828147888183594, -67.97688293457031, -72.1759262084961, -22.382003784179688, -18.928178787231445, -15.474359512329102, -10.293603897094727, -3.4199960231781006, -43.105098724365234, -39.6512565612793, 39.78712844848633, 72.5986099243164, 79.50626373291016]"
contour_930_2_3,Implication,RFR,"[-0.9706055521965027, -3.0398242473602295, -6.839743614196777, -13.066028594970703, -19.406330108642578, -29.289718627929688, -32.743587493896484, -36.19741439819336, -41.378173828125, -48.3206672668457, 13.538620948791504, 9.052062034606934, -27.56278419494629, 38.76750564575195, 85.0331039428711]"
