id,title,orig_performers,performers,performer_genders,publication_page_num,catalog_num,voice_use,instrument_use,percussion_use,instrumentation,publication_song_num,tonality,bpm_voice,bpm_drum,bpm,beat_duration,meters,free_translation,analysis
choct01,War Song,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,124,2208,TRUE,FALSE,FALSE,voice,1,third lacking,63,,63,1,2/4|3/4|5/8,,"This melody is based on intervals, not on the relationship of tones to a keynote. The principal interval is a whole tone, occurring chiefly between A flat and B flat, next in frequency being the minor third between B flat and D flat. The keynote is regarded as D flat, which occurs as next to the highest tone, and the melody contains only this tone with its second and fifth."
choct02,Begging for Gunpower Song,Lysander Tubby,Lysander Tubby,male,125,2366,TRUE,FALSE,FALSE,voice,2,major,69,,69,1,3/4|2/4|5/8|3/8,,"A descending fourth followed by an ascending fourth characterizes this song, which is minor in tonality, with the keynote occurring as the highest tone of the compass."
choct03,I am Going,Lysander Tubby,Lysander Tubby,male,125,2367,TRUE,FALSE,FALSE,voice,3,major,60,,60,1,2/4,"I am going. (Repeated many times.)
My face is painted so they cannot see me.","This interesting melody is based on the minor triad and minor seventh, with the tones occurring in descending order. Slight differences in the repetitions are shown, these occurring in the middle of the song, where changes most frequently occur in the melodic or rhythmic pattern of an Indian song. The ti'anscription is a semitone lower than the pitch of the rendition. As in similar instances, a. simpler signature is used when the pitch of the rendition would require six sharps or flats."
choct04,Slacker Song,Lysander Tubby,Lysander Tubby,male,126,2368,TRUE,FALSE,FALSE,voice,4,third lacking,84,,84,1,2/4|3/8|5/8|7/8,"I will tell you how we are going.
When you get to that place you must wait for me.","As in No. 2, the keynote occurs only as the highest tone in this melody. The peculiar measure lengths were accurately repeated in all the renditions, also the length of the rests. This transcription contains a plus sign over several notes, showing the tone was slightly above the indicated pitch. This occurs also in Nos. 5, 22, 23, 25, 28, 36, and 38, and is used only when the deviation from pitch is persistent in all the renditions."
choct05,Victory Song,Lysander Tubby,Lysander Tubby,male,127,2369,TRUE,FALSE,FALSE,voice,5,major,52|63,,52|63,1,2/4,"Where I went along they saw my tracks,
After I killed him they saw my tracks and cried. My headman told men to kill him,
I killed him because my headman told me to,
I hid in the bushes after killing him, but they came near seeing me.","In contrast to the preceding war songs, the keynote of this melody is the lowest tone and is strongly emphasized. This gives an effect of iwsitive- ness that has been noted in songs of success in other tribes. A change to minor tonality is indicated by an accidental rather than by a change of signature."
choct06,Whistle Melody,"['Robert Henry', 'Atobaantci [Putting it Back, Mary Hiekman]']",,,,2383,FALSE,TRUE,FALSE,whistle,,minor,100|63|126,,100|63|126,1,3/4|3/8|2/4|4/4,,
choct07a,Song for Success in the Ball Game,Robert Henry,Robert Henry,male,131,2263,TRUE,FALSE,FALSE,voice,6,major,84,,84,1,2/4,,"This melody is almost an incantation, in its simplicity of melody and rhythm. Two renditions are presented, each by a man regarded as an authority on the ball game. The essential rhythm and melody are the same, with variation that seems permissible among the Choctaw. In both renditions the only descending progressions are whole tones. Both renditions have a compass of a major third. Frequent rests occur in the renditions by Henry, dividing the melody into phrases, but the rendition by Willis, lasting 20 seconds, was sung without a pause for a breath."
choct07b,Song for Success in the Ball Game,Gus Willis,Gus Willis,male,131,2266,TRUE,TRUE,TRUE,sticks|voice,6 [duplicate],major,60,60,60,1,2/4,,"This melody is almost an incantation, in its simplicity of melody and rhythm. Two renditions are presented, each by a man regarded as an authority on the ball game. The essential rhythm and melody are the same, with variation that seems permissible among the Choctaw. In both renditions the only descending progressions are whole tones. Both renditions have a compass of a major third. Frequent rests occur in the renditions by Henry, dividing the melody into phrases, but the rendition by Willis, lasting 20 seconds, was sung without a pause for a breath."
choct08,Bullet Game Song (a),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,133,2202,TRUE,FALSE,FALSE,voice,7,minor,144,,144,1,2/4,Here are four counters.,The chief interest of this song is in the thematic treatment of the opening phrase. This is evident throughout the melody and is the more interesting as Wesley is not accustomed to singing these old songs at the present time.
choct09,Bullet Game Song (b),Gus Willis,Gus Willis,male,134,2270,TRUE,FALSE,FALSE,voice,8,irregular,144,,144,1,2/4,,
