id,title,song_num,catalogue_num,record_num,singers_num,performers,performer_genders,culture_dplace_id,genre,page_num,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,comments,free_translation,tonality,analysis
maidu001,Song of the Hesi Dance (a),1,,5,3,Pablo Sylvers,male,,songs of ceremonial dances,17,92,,92,1,2/4,TRUE,TRUE,TRUE,voice|striking on a plank,,,,"This melody consists of a four-measure phrase, repeated 9 times with inter esting variations. A two-measure phrase occurs midway through the melody and at the close. The song has a compass of 5 tones and contains only the tones of the minor triad and fourth."
maidu002,Song of the Hesi Dance (b),2,,6,4,Pablo Sylvers,male,,songs of ceremonial dances,18,60,,60,1,3/4|2/4,TRUE,TRUE,TRUE,voice|striking on a plank,,,,"An interesting dance rhythm occurs in this melody, the performance end ing on the fourth above the keynote. Several renditions of the repeated portion were recorded."
maidu003,Song of the Duck Dance (a),3,,16,8,Pablo Sylvers,male,,songs of ceremonial dances,18,88,,88,1,2/4|3/4,TRUE,,,voice,,,major,"The longest tone in this song is the quarter note at the beginning of the repeated portion. This tone seems to steady the rhythm of the entire melody. Many short rests occur, and were given clearly. The song has a compass of 6 tones and is based on the fourth five-toned scale."
maidu004,Song of the Duck Dance (b),4,,15,8,Amanda Wilson,female,,songs of ceremonial dances,19,72,,72,1,2/4|3/4,TRUE,,,voice,,,minor,"The rhythm of this melody is somewhat jerky, and the phrases are short. The tones are those of the minor triad and fourth and every phrase is descending in trend."
maidu005,Song of the Duck Dance (c),5,,7,3,Amanda Wilson,female,,songs of ceremonial dances,19,60,,60,1,3/4,TRUE,,,voice,,"The first flowers are blooming, so we are glad.",minor,"In structure this melody resembles the first song of the Hesi (No. 1). A phrase containing two measures is repeated ten times, with slight variations. A one-measure phrase in a slightly different rhythm occurs midway the length of the melody. The rhythm and tones of the first measure are duplicated only in the third measure, while the rhythm and tones of the second measure recur several times in the melody. Like many songs of the Maidu, this melody has a compass of five tones and is based on the minor triad and fourth."
maidu006,Song of the Duck Dance (d),6,,8,4,Amanda Wilson,female,,songs of ceremonial dances,20,60,,60,1,2/4,TRUE,,,voice,,"Lively, lively. We are lots of people.",major,"This melody resembles the preceding dance songs in its two-measure answering phrases, but differs in melodic structure. This melody is framed on two overlapping tetrachords (D-C-A and C-A-G), each phrase ending with an ascending fourth. The keynote is midway the compass of the melody. In the pre ceding songs the keynote is frequently the lowest tone occurring in the melody."
maidu007,Song of the Bear Dance (a),7,,18,10,Amanda Wilson,female,,songs of ceremonial dances,21,80,,80,1,3/4|2/4,TRUE,,,voice,,,irregular,"This song has a marching rhythm and the phrases are short. The progressions suggest C sharp as the keynote, with a minor tonality. The third above C does not occur, but the sixth above C is a prominent tone and is a minor sixth above the keynote."
maidu008,Song of the Bear Dance (b),8,,17,9,Amanda Wilson,female,,songs of ceremonial dances,21,88,,88,1,3/4,TRUE,,,voice,,,major,"A swinging rhythm characterizes this song, which contains long phrases without a rest. An ascending fourth occurs frequently, and overlapping, descend ing tetrachords occur several times (C-B flat-G and B flat-G-F). The keynote is next to the highest tone, and the third occurs only as the initial unaccented tone. This song is an example of a melody with interval-formation."
maidu009,Song of the Bear Dance (c),9,,19,11,Amanda Wilson,female,,songs of ceremonial dances,22,88,,88,1,2/4|3/4,TRUE,,,voice,,,major,"This song opens with a lively rhythm, but the change of measure-length in the third measure introduces a heavier motion, characterized by a succession of eighth notes. The implied keynote is A flat, and the melody contains the tones of the fourth five-toned scale."
maidu010,Song of the Grasshopper Dance,10,,12,6,Amanda Wilson,female,,songs of ceremonial dances,22,104,,104,1,2/4|3/4|3/8,TRUE,,,voice,,,minor,"The tonality of this melody is not clear, but it is transcribed as nearly as possible. The tone transcribed as C sharp was often sung above the indicated pitch, and the tone transcribed as E was not clear in its intonation; but both D sharp and A were given clearly. It is a peculiar melody with a graceful rhythm and many descending phrases. Two renditions were recorded and are alike in the essentials of rhythm and melody."
maidu011,The Dancers Approach the Lodge (a),11,,33,14,Pablo Sylvers,male,,songs of social dances,25,88,,88,1,3/4|2/4,TRUE,TRUE,TRUE,voice|clacker,,,major,A peculiarity of this song is the prominence of the tone above the keynote which ends a majority of the phrases and is the final tone of the song. The only tones are those of the major triad and second. Several renditions were recorded and are identical.
maidu012,The Dancers Approach the Lodge (b),12,,21,9,Pablo Sylvers,male,,songs of social dances,26,60,,60,1,3/4,TRUE,TRUE,TRUE,voice|clacker,,,major,"The next song is different from the next preceding in melodic and rhythmic structure. It is based on the fourth five-toned scale and framed on two descending fourths which occur consecutively, about midway through the melody. The reversal of count divisions in succeeding phrases is interesting and shows a definite sense of rhythm. The swinging, swaying rhythm of the phrases beginning on C, with their descending trend, has been noted in several other Maidu dance songs."
maidu013,Social Dance Song (a),13,,32,19,Amanda Wilson,female,,songs of social dances,26,88,,88,1,3/4,TRUE,TRUE,TRUE,voice|clacker,,,major,"In this song the keynote is in the middle of the compass and the tones are those of a major triad and second. Like the song next preceding, this is character ized by one-measure phrases, each followed by a short rest."
maidu014,Social Dance Song (b),14,,1,1,Pablo Sylvers,male,,songs of social dances,26,60,,60,1,2/4,TRUE,TRUE,TRUE,voice|clacker,,,major,"The tempo of this song is slow, as in a majority of Maidu dance songs. The melody consists of only four phrases and was repeated many times. The tones are those of the fourth five-toned scale."
