id,song_num,page_num,catalogue_num,performers,performer_genders,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,lyrics,free_translation,tonality,comments
menominee001,1,29,1517,Louis Pigeon (Tcik'wa),male,104,,104,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee002,2,29,1518,Louis Pigeon (Tcik'wa),male,112,,112,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee003,3,30,1519,Louis Pigeon (Tcik'wa),male,108,,108,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee004,4,30,1520,Louis Pigeon (Tcik'wa),male,116,,116,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee005,5,32,1635,Katherine Laughrey (Ca'wûno'mĭta'we),female,72,,72,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee006,6,35,1584,John Ca'wûnĭ'pĭnas' (A'djiki),male,69,,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,Kakikcasin names me; the spirits,,
menominee007,7,40,1539,Louis Pigeon (Tcik'wa),male,92,,92,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee008,8,44,1585,John Ca'wûnĭ'pĭnas' (A'djiki),male,104,,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee009,9,45,1622,James We'ke (Inä'miki'se),male,224,112,224,0.5,5/8|2/4,TRUE,TRUE,TRUE,voice|drum,,The east god (sun) who moves across the sky in a day gave this dance to an Indian in a dream,,"Drum rhythm: continuous eigth-notes, accented on every other note (i.e., every quarter)"
menominee010,10,46,1610,Peter Fish (We'sawa'nakwût),male,104,104,104,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,"East god (sun), you are the greatest god",,Drum rhythm: continuous eigth-notes
menominee011,11,47,1524,Louis Pigeon (Tcik'wa),male,126,,126,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee012,12,47,1516,Louis Pigeon (Tcik'wa),male,120,,120,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee013,13,48,1611,Peter Fish (We'sawa'nakwût),male,106,,108,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee014,14,49,1612,Peter Fish (We'sawa'nakwût),male,116,,116,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee015,15,49,1637,Pamä'pomĭ,male,120,120,120,1,2/4,TRUE,TRUE,TRUE,voice|drum,,,,Drum rhythm: continuous eigth-notes
menominee016,16,50,1638,Pamä'pomĭ,male,120,120,120,1,3/8|3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,,,Drum rhythm: continuous eigth-notes
menominee017,17,51,1628,Agnes Sullivan (Ke'sigo'kiü),female,100,100,100,1,3/4|5/8|2/4,TRUE,TRUE,TRUE,voice|drum,,I will be alive only four days,,Drum rhythm: continuous eigth-notes
menominee018,18,53,1573,David Amab (Wa'nĭskûm),male,80|126,,80|126,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee019,19,53,1623,Agnes Sullivan (Ke'sigo'kiü),female,116,,116,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee020,20,54,1574,David Amab (Wa'nĭskûm),male,138|92,,138|92,1,3/4|2/4|3/8|2/8,TRUE,FALSE,FALSE,voice,,,,The parts in 2/8 and 3/8 meter have tempo quaver=184 (so quarter=92)
menominee021,21,54,1521,Louis Pigeon (Tcik'wa),male,100,,100,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee022,22,55,1613,Peter Fish (We'sawa'nakwût),male,152,,152,0.5,3/8|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee023,23,55,1614,Peter Fish (We'sawa'nakwût),male,126|138,,126|138,1,3/4|2/4|3/8|5/8,TRUE,FALSE,FALSE,voice,,,,
menominee024,24,56,1538,Louis Pigeon (Tcik'wa),male,120,,120,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,You will dance for me in my gay dress,,
menominee025,25,56,1572,David Amab (Wa'nĭskûm),male,96,,96,1,2/4,TRUE,FALSE,FALSE,voice,,,,
menominee026,26,58,1829,Louis Pigeon (Tcik'wa),male,116|112,,116|112,1,3/4|2/4,TRUE,FALSE,FALSE,voice,Mi'aniu (owl); teek'nepowin (obsolete word meaning 'near by'),,irregular,
menominee027,27,59,1840,David Amab (Wa'nĭskûm),male,116,,116,1,3/4|2/4,TRUE,FALSE,FALSE,voice,koko'ko (horned owls); weto'katowuk (playing together),,,
